S.no,Constituency,Party,Majority,latitude,longitude,MajorityVotes
10,Dharmapuri,DMK,70753,12.09680475,78.19304301,70.753
11,Tiruvannamalai,DMK,304187,12.22721295,79.07015555,304.187
12,Arani,INC,230806,12.68622945,79.29924436,230.806
13,Viluppuram,DMK,128068,11.9137874,79.50789298,128.068
14,Kallakurichi,DMK,399919,11.79468465,79.03882106,399.919
15,Salem,DMK,146926,11.6612012,78.1602498,146.926
16,Namakkal,DMK,265151,11.2191319,78.23739802,265.151
17,Erode,DMK,210618,11.3692044,77.67662687,210.618
18,Tiruppur,Other,93368,10.78322705,77.5260478,93.368
19,Nilgiris,DMK,205823,11.4,76.7,205.823
20,Coimbatore,Other,179143,11.0018115,76.9628425,179.143
21,Pollachi,DMK,175883,10.66942235,77.01017959,175.883
22,Dindigul,DMK,538972,10.3303299,78.06739791,538.972
23,Karur,INC,420546,10.9301522,78.08485455,420.546
24,Tiruchirappalli,INC,459286,10.804973,78.6870296,459.286
25,Perambalur,DMK,403518,11.2287716,78.81825555,403.518
26,Cuddalore,DMK,143983,11.74269375,79.75030644,143.983
27,Chidambaram,Other,3219,11.41018075,79.67222018,3.219
28,Mayiladuthurai,DMK,261314,11.1551822,79.62739426,261.314
29,Nagapattinam,Other,211353,10.8056276,79.82465978,211.353
30,Thanjavur,DMK,368129,10.7860267,79.1381497,368.129
31,Sivaganga,INC,332244,9.851231,78.53047155,332.244
32,Madurai,Other,139395,9.9261153,78.1140983,139.395
33,Theni,Other,76693,9.9696643,77.47420049,76.693
34,Virudhunagar,INC,154554,9.5208936,77.8784564,154.554
35,Ramanathapuram,Other,127122,9.3895523,78.85907072,127.122
36,Thoothukkudi,DMK,347209,8.7567452,78.07975266,347.209
37,Tenkasi,DMK,120286,9.09407535,77.4758369,120.286
38,Tirunelveli,DMK,185457,8.8082342,77.8114843,185.457
39,Kanyakumari,INC,259933,8.079252,77.5499338,259.933
1,Adilabad,BJP,58560,19.5,78.5,58.56
2,Peddapalli,TRS,95180,18.62065305,79.49501711,95.18
3,Karimnagar,BJP,89508,18.4346438,79.1322648,89.508
4,Nizamabad,BJP,70875,26.05531795,82.99313868,70.875
5,Zahirabad,TRS,6229,17.6758253,77.6106926,6.229
6,Medak,TRS,316427,17.9375095,78.21174499,316.427
7,Malkajgiri,INC,10919,17.4483438,78.5289727,10.919
8,Secunderabad,BJP,62114,17.4690889,78.5059176,62.114
9,Hyderabad,AIMM,282186,17.38878595,78.46106473,282.186
10,Chevella,TRS,14317,17.9376421,77.9117316,14.317
11,Mahbubnagar,TRS,77829,16.7434538,77.9923191,77.829
12,Nagarkurnool,TRS,189748,16.41576265,78.68304333,189.748
13,Nalgonda,INC,25682,16.8579636,79.21749353,25.682
14,Bhongir,INC,5219,17.5172789,78.8863383,5.219
15,Warangal,TRS,350298,17.9806094,79.5982115,350.298
16,Mahabubabad,TRS,146663,17.7138983,80.04134253,146.663
17,Khammam,TRS,168062,17.5,80.333333,168.062
1,Tripura West,BJP,305689,23.7750823,91.7025091,305.689
2,Tripura East,BJP,204290,23.7750823,91.7025091,204.29
1,Saharanpur,BSP,22417,29.9880774,77.50812995,22.417
2,Kairana,BJP,92160,29.4827179,77.19151993,92.16
3,Muzaffarnagar,BJP,6526,29.44800635,77.74068503,6.526
4,Bijnor,BSP,69941,29.40604895,78.4808784,69.941
5,Nagina,BSP,166832,29.538422,78.51514669,166.832
6,Moradabad,SP,97878,28.8638424,78.80577833,97.878
7,Rampur,SP,109997,28.79406825,79.18593045,109.997
8,Sambhal,SP,174826,28.61875255,78.55087405,174.826
9,Amroha,BSP,63248,28.9233969,78.48831693,63.248
10,Meerut,BJP,4729,28.916667,77.683333,4.729
11,Baghpat,BJP,23502,28.97240405,77.33315285,23.502
12,Ghaziabad,BJP,501500,28.711241,77.4445372,501.5
13,Gautam Buddh Nagar,BJP,336922,28.3383,77.6078,336.922
14,Bulandshahr,BJP,290057,28.38886085,77.97479773,290.057
15,Aligarh,BJP,229261,27.87698975,78.13729028,229.261
16,Hathras,BJP,260208,27.57324325,78.11173867,260.208
17,Mathura,BJP,293471,27.633333,77.583333,293.471
18,Agra,BJP,211546,27.1752554,78.0098161,211.546
19,Fatehpur Sikri,BJP,495065,27.0911655,77.6623984,495.065
20,Firozabad,BJP,28781,27.17736635,78.38991198,28.781
21,Mainpuri,SP,94389,27.2098219,79.04813701,94.389
22,Etah,BJP,122670,27.5541146,78.6007864,122.67
23,Badaun,BJP,18454,27.94225275,79.20666095,18.454
24,Aonla,BJP,113743,28.33552945,79.19123582,113.743
25,Bareilly,BJP,167282,28.457876,79.40557094,167.282
26,Pilibhit,BJP,255627,28.49520765,80.1075408,255.627
