S.no,Constituency,Party,Majority,latitude,longitude
11,Bhandara-Gondiya,BJP,"1,97,394",20.9847,79.9193
12,Gadchiroli-Chimur,BJP,"77,526",19.4969,80.2769
13,Chandrapur,INC,"44,763",26.21231825,91.89620685
14,Yavatmal-Washim,SS,"1,17,939",20.1119,77.1313
15,Hingoli,SS,"2,77,856",19.54140965,77.17376601
16,Nanded,BJP,"40,148",19.09400875,77.48319215
17,Parbhani,SS,"42,199",19.29031365,76.60290343
18,Jalna,BJP,"3,32,815",19.9182328,75.86862469
19,Aurangabad,AIMM,"4,492",19.877263,75.3390241
20,Dindori,BJP,"1,98,779",20.25527235,73.80730056
21,Nashik,SS,"2,92,204",20.0112475,73.7902364
22,Palghar,SS,"88,883",19.68086385,72.82537343
23,Bhiwandi,BJP,"1,56,329",19.3625308,73.07847468
24,Kalyan,SS,"3,44,343",19.2716301,73.23586553
25,Thane,SS,"4,12,145",19.1943294,72.9701779
26,Mumbai North,BJP,"4,65,247",18.9387711,72.8353355
27,Mumbai North West,SS,"2,60,328",18.9387711,72.8353355
28,Mumbai North East,BJP,"2,26,486",18.9387711,72.8353355
29,Mumbai North Central,BJP,"1,30,005",5.4168728,100.3400144
30,Mumbai South Central,SS,"1,52,139",5.4168728,100.3400144
31,Mumbai South,SS,"1,00,067",18.9387711,72.8353355
32,Raigad,Other,"31,438",18.4928092,73.13807095
33,Maval,SS,"2,15,913",24.4317886,72.7115342
34,Pune,BJP,"3,24,628",18.521428,73.8544541
35,Baramati,Other,"1,55,774",18.21985375,74.4534054
36,Shirur,Other,"58,483",18.76109885,74.20952895
37,Ahmednagar,BJP,"2,81,474",19.1627725,74.8580243
38,Shirdi,SS,"1,20,195",19.7668121,74.4754386
39,Beed,BJP,"1,68,368",18.9904059,75.7542291
40,Osmanabad,SS,"1,27,566",18.16984395,76.11796321
41,Latur,BJP,"2,89,111",18.35146855,76.75512122
42,Solapur,BJP,"1,58,608",17.84990665,75.27632027
43,Madha,BJP,"85,764",18.0713086,75.36232813
44,Sangli,BJP,"1,64,352",16.8502534,74.5948885
45,Satara,Other,"1,26,528",17.63612885,74.29827808
46,Ratnagiri-Sindhudurg,SS,"1,78,322",16.9902,73.312
